GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Student Project,edu.pdx.cs.joy.whitlock,Student.InvalidGPAException,0,18,0,0,0,4,0,2,0,2
Student Project,edu.pdx.cs.joy.whitlock,Student,0,67,0,4,0,21,0,7,0,5
